items_per_subscale,alpha_target,seed,recovered_slope,recovered_mantel_r,recovered_pearson,recovered_slope_vs_human,recovered_mantel_r_vs_human,n_pairs
3,0.75,10,1.4051344469256553,0.9936803574503952,0.9936803574503952,1.5569953204115359,0.9584487932163989,120
3,0.75,11,1.4448314516551146,0.9939596610709344,0.9939596610709344,1.4486763821577076,0.9671051373305156,120
3,0.75,12,1.3985860851212395,0.9915934402475081,0.9915934402475081,1.3119431960328403,0.9678666263949824,120
3,0.75,13,1.387615478785397,0.9930019137146202,0.9930019137146202,1.40101738169635,0.976553351118579,120
3,0.75,14,1.3883674654391216,0.9925813483407282,0.9925813483407282,1.3224201306077705,0.969304673600071,120
3,0.75,15,1.4161791940350243,0.9920473048676873,0.9920473048676873,1.4675727495884698,0.9657775155755532,120
3,0.75,16,1.3657526978456682,0.9930745467447529,0.9930745467447529,1.3996087838348503,0.9833613275832203,120
3,0.75,17,1.3683601106366785,0.9921151138356884,0.9921151138356884,1.382341690789023,0.9710636170219618,120
3,0.75,18,1.3638326353749455,0.9924656691853672,0.9924656691853672,1.2401321342582006,0.9614574443811283,120
3,0.75,19,1.3894515274012176,0.9916549211866355,0.9916549211866355,1.3810407349671958,0.9735694809240928,120
3,0.85,0,1.2081951872441241,0.9962388736243262,0.9962388736243262,1.1429059967918713,0.9734822167672109,120
3,0.85,1,1.158794833632456,0.9969281017692296,0.9969281017692296,1.1803018761468937,0.9760458073659345,120
3,0.85,2,1.196890221040309,0.9971593520481122,0.9971593520481122,1.2382716422482476,0.985276247370988,120
3,0.85,3,1.1799283111502463,0.9964619197972198,0.9964619197972198,1.2055963593268189,0.9802285575979945,120
3,0.85,4,1.2089978463323048,0.9960772666473403,0.9960772666473403,1.207822299073914,0.966824215903521,120
3,0.85,5,1.1990191206642367,0.9968831448269407,0.9968831448269407,1.240949159903996,0.9833734092236491,120
3,0.85,6,1.2531490235381897,0.9959887426411103,0.9959887426411103,1.283597171750861,0.9789606028311245,120
3,0.85,7,1.2178953289169494,0.9960235766614455,0.9960235766614455,1.3121737499420099,0.9797415208706816,120
3,0.85,8,1.194177885683872,0.9958849252235409,0.9958849252235409,1.236983544458896,0.9806158403606261,120
3,0.85,9,1.1718074681551562,0.9960366516142828,0.9960366516142828,1.1105409544607958,0.9756231664850604,120
3,0.85,10,1.2000199733649601,0.9972696086040054,0.9972696086040054,1.3349696072177868,0.9657134305625443,120
3,0.85,11,1.2551542452868283,0.9974237623721921,0.9974237623721921,1.2579067204958057,0.9700224524035087,120
3,0.85,12,1.179408021356676,0.9968126079293524,0.9968126079293524,1.104378949259882,0.9712333942174731,120
3,0.85,13,1.1861060220329296,0.9970952490857306,0.9970952490857306,1.1956039176457023,0.9789758242109219,120
3,0.85,14,1.1664016458860047,0.9962979943099538,0.9962979943099538,1.1064906957800917,0.9689872700375258,120
3,0.85,15,1.2056967293372474,0.9967417936496485,0.9967417936496485,1.2513550435322813,0.971825775514057,120
3,0.85,16,1.1747614202453658,0.9970603389443708,0.9970603389443708,1.2001249235646165,0.9842261563285011,120
3,0.85,17,1.1815695911908508,0.9960965600490789,0.9960965600490789,1.1932539283661163,0.9746431250849428,120
3,0.85,18,1.1811172816853985,0.9967659330559497,0.9967659330559497,1.0727784124959512,0.9645347506505068,120
3,0.85,19,1.2077561895628188,0.9957889404292092,0.9957889404292092,1.1994598906042597,0.9768256350729302,120
5,0.6,0,1.3452449316237614,0.9919337949838145,0.9919337949838145,1.2765703140864286,0.9723378496229897,120
5,0.6,1,1.2968592363640035,0.9934591081505294,0.9934591081505294,1.324034242243575,0.974936181726329,120
5,0.6,2,1.3579181543764065,0.9917578509435043,0.9917578509435043,1.4075962687803871,0.9818428850811685,120
5,0.6,3,1.3211628286024963,0.9943962243627461,0.9943962243627461,1.3476131220575815,0.9765369706472625,120
5,0.6,4,1.3610260117832311,0.993277817320989,0.993277817320989,1.363233581926963,0.9666106194994392,120
5,0.6,5,1.3756851871977125,0.9927034223118393,0.9927034223118393,1.4219971920330219,0.9780150184986759,120
5,0.6,6,1.3436920491987288,0.9920589659224579,0.9920589659224579,1.3789914519044215,0.976976385255681,120
5,0.6,7,1.3357455446462039,0.9925411676646755,0.9925411676646755,1.4406947024564862,0.9773660930184193,120
